n,padrao,obj_gurobi,gap_gurobi,tempo_gurobi,obj_GRASP,tempo_GRASP
25,1,1441.0,0.0,0.23385405540466309,1441.0,30.014
25,2,2030.0,0.0,0.20533299446105957,2030.0,30.009
25,3,975.0,0.0,0.35441112518310547,943.0,30.006
50,1,6144.0,0.0,7.157970905303955,6144.0,30.036
50,2,6419.0,0.0,16.789315223693848,6313.0,30.138
50,3,7746.0,0.0,5.974531888961792,7723.0,30.032
100,1,18329.0,0.37405204866604835,600.022577047348,20424.0,30.121
100,2,16656.0,0.5675432276657061,600.0270750522614,20408.0,30.246
100,3,17317.0,0.513252872899463,600.0180699825287,21422.0,30.217
200,1,39443.0,2.6646553254062826,600.0257949829102,56671.0,30.478
200,2,28737.0,4.205205832202387,600.0281839370728,50220.0,30.120
200,3,30553.0,4.132523811082382,600.0225100517273,49487.0,33.099
400,1,91284.0,9.5099652366972,600.044755935669,147385.0,42.927
400,2,75980.0,11.537587742388352,600.0536270141602,137661.0,214.495
400,3,81470.0,10.723284644654473,600.055018901825,142159.0,265.367
